line_name,description,total_boarding,tm2_mode,line_mode,headway,fare_system,vehicle_mode
10_573_199_PM_d0_s492,Hollis North,69.29872989654541,12,d,8.72,99,d
10_573_200_PM_d0_s498,Hollis South,84.36556339263916,12,d,7.92,99,d
10_573_201_PM_d0_s490,Shellmound/Powell,10.419828966259956,12,d,190.17,99,d
10_573_202_PM_d0_s494,South Shellmound/Powell,124.0019519329071,12,d,7.92,99,d
10_573_203_PM_d0_s496,North Shellmound,101.81288623809814,12,d,10.3,99,d
10_573_204_PM_d0_s495,Watergate Express,51.38382530212402,12,d,11.89,99,d
12_247_481_PM_d0_s1454,1,14.267499923706055,49,f,23.77,34,f
12_247_481_PM_d1_s1425,1,25.31338119506836,49,f,23.77,34,f
12_247_482_PM_d0_s1446,2,86.97636413574219,49,f,23.77,34,f
12_247_482_PM_d1_s1420,2,63.92499923706055,49,f,23.77,34,f
12_247_484_PM_d0_s1417,4,39.74284744262695,49,f,16.64,34,f
12_247_484_PM_d1_s1448,4,3.2049999237060547,49,f,47.54,34,f
12_247_485_PM_d0_s1440,5,26.368192672729492,49,f,26.94,34,f
12_247_485_PM_d1_s1429,5,19.142789483070374,49,f,31.7,34,f
12_247_486_PM_d0_s1419,6,0,49,f,47.54,34,f
12_247_486_PM_d1_s1451,6,1.6416335105895996,49,f,47.54,34,f
12_247_487_PM_d0_s1453,7,29.4399995803833,49,f,11.89,34,f
12_247_487_PM_d1_s1418,7,26.56290054321289,49,f,23.77,34,f
12_247_488_PM_d1_s1427,15,0,49,f,190.17,34,f
12_247_489_PM_d1_s1438,17,0,49,f,190.17,34,f
12_247_490_PM_d0_s1457,78,138.9550018310547,91,i,31.7,35,i
12_247_490_PM_d1_s1424,78,70.25626564025879,91,i,31.7,35,i
12_247_491_PM_d0_s1421,80,146.93895721435547,91,i,11.89,35,i
12_247_491_PM_d1_s1431,80,488.69647216796875,91,i,11.89,35,i
12_247_492_PM_d0_s1449,85,13.666707992553711,49,i,2.38,35,i
12_247_492_PM_d1_s1450,85,47.33741760253906,49,i,2.38,35,i
12_247_493_PM_d0_s1455,8,0,49,f,47.54,34,f
12_247_493_PM_d1_s1430,8,0,49,f,47.54,34,f
12_247_494_PM_d0_s1452,20,9.300000190734863,49,f,47.54,34,f
12_247_494_PM_d1_s1447,20,20.139999389648438,49,f,47.54,34,f
13_5_300_PM_d0_s790,nan,0,52,f,190.17,5,f
13_5_300_PM_d1_s787,nan,0,52,f,190.17,5,f
13_5_301_PM_d1_s788,nan,0,52,f,190.17,5,f
14_869_687_PM_d0_s2064,Route 2,0,56,d,31.7,99,d
14_869_688_PM_d0_s2066,Route 4,0,56,d,31.7,99,d
14_869_689_PM_d0_s2068,Route 5,0,56,d,63.39,99,d
14_869_689_PM_d1_s2067,Route 5,0,56,d,63.39,99,d
14_869_690_PM_d0_s2069,Route 6,0,56,d,95.09,99,d
14_869_690_PM_d1_s2070,Route 6,0,56,d,63.39,99,d
15__163_PM_d0_s422,Rossmoor/Shadelands,5.334218919277191,42,m,47.54,15,m
15__163_PM_d1_s423,Rossmoor/Shadelands,0.08952652849256992,42,m,47.54,15,m
15__164_PM_d0_s424,BART WALNUT CREEK/JOHN MUIR MED CTR,0.08952652849256992,42,m,47.54,15,m
15__164_PM_d1_s425,BART WALNUT CREEK/JOHN MUIR MED CTR,83.88636779785156,42,m,47.54,15,m
15__165_PM_d0_s426,Rudgear/BART Walnut Creek,0.07401560992002487,42,m,95.09,15,m
15__165_PM_d1_s427,Rudgear/BART Walnut Creek,0,42,m,95.09,15,m
15__166_PM_d0_s428,DVC/BART Concord,0.5149999856948853,42,m,20.6,15,m
15__166_PM_d1_s429,DVC/BART Concord,16.757151544094086,42,m,23.77,15,m
15__167_PM_d0_s430,BART Walnut Creek/San Ramon,32.47408962249756,42,m,26.94,15,m
15__167_PM_d1_s431,BART Walnut Creek/San Ramon,3.5,42,m,38.03,15,m
15__168_PM_d0_s432,BART Lafayette/BART Walnut Creek,10.292369842529297,42,m,47.54,15,m
15__168_PM_d1_s433,BART Lafayette/BART Walnut Creek,33.167083740234375,42,m,47.54,15,m
15__169_PM_d0_s434,BART North Concord/Martinez,8.724069148302078,42,m,63.39,15,m
15__169_PM_d1_s435,BART North Concord/Martinez,44.609324529767036,42,m,47.54,15,m
15__170_PM_d0_s436,Martinez Community,0.3975681960582733,42,m,47.54,15,m
15__171_PM_d0_s437,BART Concord/Clayton,33.906280517578125,42,m,13.47,15,m
15__171_PM_d1_s438,BART Concord/Clayton,12.980671346187592,42,m,13.47,15,m
15__172_PM_d0_s439,BART Dublin/San Ramon,0.2777945399284363,42,m,23.77,15,m
15__172_PM_d1_s440,BART Dublin/San Ramon,22.1319637298584,42,m,23.77,15,m
15__173_PM_d0_s441,San Ramon/BART Dublin,6.182862609624863,42,m,47.54,15,m
15__173_PM_d1_s442,San Ramon/BART Dublin,15.933041781187057,42,m,47.54,15,m
15__174_PM_d0_s443,Broadway Plaza/BART Walnut Creek,21.858912587165833,42,f,11.89,17,f
15__174_PM_d1_s444,Broadway Plaza/BART Walnut Creek,14.579050540924072,42,f,11.89,17,f
15__175_PM_d0_s445,Creekside/BART Walnut Creek,45.42069339752197,42,f,16.64,17,f
15__175_PM_d1_s446,Creekside/BART Walnut Creek,0,42,f,16.64,17,f
15__176_PM_d0_s447,Lafayette/Moraga/Orinda,0,42,m,31.7,15,m
15__176_PM_d1_s448,Lafayette/Moraga/Orinda,0,42,m,26.94,15,m
15__177_PM_d0_s449,BART Concord/BART Pleasant Hi,48.15666198730469,42,m,47.54,15,m
15__177_PM_d1_s450,BART Concord/BART Pleasant Hi,8.696118831634521,42,m,47.54,15,m
