station,district,route,direction,type,latitude,longitude,distlink,pemsonlink,shstReferenceId,A,B,model_link_id,A_B
400001,4,101,N,ML,37.364085,-121.901149,8.54699729863161e-05,1,b884a990917d6d09cb42cf2241b25fea,2144635,2119598,2196953,2144635_2119598
400006,4,880,S,ML,37.605003,-122.065542,2.06248947821153e-05,1,a76e5d7afe487513999d25dd5f29c474,2584626,2592869,3111133,2584626_2592869
400007,4,101,N,ML,37.586936,-122.337721,2.27913856539912e-05,2,f0ab25b75d0563e92800b467fc5cc70c,1547190,1512153,1071141,1547190_1512153
400009,4,80,W,ML,37.864883,-122.303345,9.57104395497039e-06,1,14d356a7b59fa34af932e90ed262855f,2513713,2571990,3013862,2513713_2571990
400010,4,101,N,ML,37.629765,-122.402365,5.40931710945849e-05,1,f8a87bd6670d3e137106cb5aca714ec9,1547936,1547976,1073472,1547936_1547976
400015,4,84,W,ML,37.534901,-122.076575,3.0889628976746e-05,1,41c86080bbf3294b9eec60be84671f24,2540313,2578728,3043778,2540313_2578728
400026,4,580,E,ML,37.809611,-122.246363,2.34100697529032e-05,1,0c95b5edb4efa755ad0e5fad2d1408fe,2508400,2579563,3008376,2508400_2579563
400027,4,80,E,ML,37.914241,-122.317388,4.81200892121495e-05,1,b45936cc1a7339732450074ae6096e92,3043503,3070652,4089555,3043503_3070652
400030,4,880,S,ML,37.359087,-121.906538,6.44245318730924e-06,1,f5c2856eec20021604ef722e49ce7ca8,2144532,2095749,2262339,2144532_2095749
400031,4,580,W,ML,37.787056,-122.196191,2.69688930942698e-05,1,061874fa2e319e9508c5466b2feb5a6a,2504120,2558744,3004068,2504120_2558744
400039,4,101,N,ML,37.637025,-122.404035,9.55834128079373e-05,1,cb2974285ee8c4091bf6f05394bfe759,1522445,1543386,1059979,1522445_1543386
400040,4,87,S,ML,37.294949,-121.873109,0.0001639020503511,1,a58a4553e809acc91bd19248f346a14b,2081029,2156955,2176972,2081029_2156955
400041,4,880,N,ML,37.633535,-122.085656,9.48607376615525e-06,2,e0c1a04c0666191b9c20e85fe89ec664,2570164,2518805,3149313,2570164_2518805
400043,4,101,S,ML,37.753591,-122.403092,2.03732642472737e-05,1,6d8b2509ddc5a1a71b55ff5b569e136a,1014653,1014389,17604,1014653_1014389
400044,4,680,S,ML,38.116791,-122.106303,2.52503237051531e-05,1,96290e0433c72e15546102b3804793f3,3519261,3519570,5036017,3519261_3519570
400045,4,880,N,ML,37.363402,-121.902233,4.07834653329438e-05,1,ae5ea28d4d82d26ccb2d5a2bb46ca485,2139601,2143673,2186282,2139601_2143673
400048,4,24,E,ML,37.86726,-122.199105,0.0002220070872143,1,c6b33427d4612ee165e6b6ce681c1113,3040879,3003567,4098630,3040879_3003567
400049,4,4,E,ML,38.015508,-121.992782,0.0002439842322826,1,31dcf6d961e8d70a0aed5c02b695e7ba,3023480,3009806,4024722,3023480_3009806
400050,4,238,N,ML,37.688984,-122.114253,3.29524237785155e-05,1,d48b8bdf573ecbf9f9684f413957ef78,2599317,2532191,3141189,2599317_2532191
400052,4,85,N,ML,37.255791,-121.875479,6.15862735806911e-05,1,3083571b723048cf79bbc8ac2ae47dcf,2048905,2156128,2051959,2048905_2156128
400057,4,880,N,ML,37.335022,-121.935522,3.20648212822239e-06,1,32b4aac446361164de4eafdabd39b42a,2050895,2123660,2054271,2050895_2123660
400059,4,85,S,ML,37.250481,-121.907735,1.58539872861263e-06,1,a73ab2696f284cd921845fe842b222b2,2011169,2136369,2178705,2011169_2136369
400060,4,80,W,ML,37.87181,-122.305549,6.15210819801587e-05,2,9a035e0ca2b93de40510f53e0eccf2a4,2580846,2539284,3102348,2580846_2539284
400067,4,880,S,ML,37.597694,-122.060285,5.92373571210075e-05,1,fd8ded051694699febf295e72a6e77da,2608333,2505019,3168274,2608333_2505019
400069,4,101,S,ML,37.385758,-121.977493,3.3425805527618e-05,1,7dc48aa303c48fb6eea805245d5af370,2110737,2082683,2134467,2110737_2082683
400071,4,92,W,ML,37.567395,-122.26939,4.66113942628922e-06,1,f4a5899c76c86494f9d98a657bc46382,1547569,1513738,1072290,1547569_1513738
400075,4,580,E,ML,37.82576,-122.275143,6.48338763675567e-05,1,fc97b5bec0a1fcbb12b4a368a0ccfb43,2555734,2530695,3167602,2555734_2530695
400079,4,80,W,ML,37.904377,-122.313309,2.33398220969168e-05,1,5c31a0c1729cd20dca4358440559f6b5,3040525,3009659,4045846,3040525_3009659
400082,4,80,E,ML,37.980187,-122.317007,2.82477884396144e-06,1,1eaba0fd38dff784c7f9d7c82d6fe4e9,3014801,3007785,4015106,3014801_3007785
400083,4,24,W,ML,37.839128,-122.264826,3.14191513996908e-05,1,542d17fc1bf95bc2077b69718c8ef1ce,2550069,2547676,3055984,2550069_2547676
400084,4,280,S,ML,37.329258,-122.012053,7.98735648676937e-06,2,13fbe0d75f54cb0b7047065393d66e57,2021211,2131393,2021506,2021211_2131393
400093,4,880,S,ML,37.811953,-122.303779,7.64763778721984e-05,1,34c3e1154bbcf2d6e13c700b8d0ade03,2533063,2584141,3035152,2533063_2584141
400096,4,237,W,ML,37.418049,-121.972381,2.16215327376715e-05,1,1716f462f7e5662391edb5e5e29828f6,2024318,2145643,2024796,2024318_2145643
400097,4,85,S,ML,37.279012,-122.010614,5.77479936711937e-05,1,f70627e06fb7973698834463ad699aa4,2022073,2037160,2263700,2022073_2037160
400100,4,17,S,ML,37.295052,-121.938872,1.38518175315778e-05,1,8fe1f924dfdb02123fedc98e18bae1bd,2105494,2028312,2153816,2105494_2028312
400101,4,24,W,ML,37.872945,-122.189548,0.0001828153283399,1,1b8b9c7b874c548ff1137a139614b62b,3013425,3022102,4013623,3013425_3022102
400103,4,24,E,ML,37.839085,-122.26443,5.88468018410295e-05,1,542d17fc1bf95bc2077b69718c8ef1ce,2550069,2547676,3055984,2550069_2547676
400104,4,237,E,ML,37.419313,-121.95548,7.84192061279222e-06,1,d2d9b754d6f83429f039ddb0278859a3,2023161,2018366,2225072,2023161_2018366
400105,4,680,S,ML,37.77936,-121.976464,2.5096765827836e-05,1,0857925213f8f49dcab09c65d1dbf102,3004224,3069148,4004151,3004224_3069148
400106,4,101,S,ML,37.586325,-122.332169,8.49555255813538e-05,1,dfd26b2508d008ad867b43ce2eae005f,1545450,1512814,1066084,1545450_1512814
400108,4,17,N,ML,37.190197,-121.992771,0.0248578508550177,4,ff8f4bf33f498176b2a6e2fe4d078ff4,2149422,2135323,2272958,2149422_2135323
400110,4,680,S,ML,37.951643,-122.055554,3.32636545740747e-05,1,e709d0778c016ab450cb6ebcdb5bd44c,3077330,3017804,4114612,3077330_3017804
400111,4,580,E,ML,37.70141,-121.888557,4.39735956702455e-06,1,4adb195680ebf70c19a79893753d00a4,2512283,2570443,3049870,2512283_2570443
400115,4,238,S,ML,37.688688,-122.114306,4.58438439694451e-06,1,5a3e53be7a9eda8c763274907f0dbbe8,2553071,2579170,3059927,2553071_2579170
400116,4,101,S,ML,37.634035,-122.403213,0.0001051845385518,1,de5839cde1e16bbac638045817fb0fe3,1544501,1527163,1065617,1544501_1527163
400118,4,680,N,ML,37.780195,-121.976672,5.77704680434251e-05,1,8586c0f7aafaa58d1c5afcd9c9da6b0d,3054434,3075566,4066358,3054434_3075566
400122,4,880,N,ML,37.36614,-121.901132,4.3019862271592e-06,1,32c5a85ffe924ef1c3c8b1a1d1265543,2050962,2065339,2054355,2050962_2065339
400124,4,80,E,ML,38.036872,-122.249008,0.0003665093877342,2,fbe357501dd5a3af4eb1a863fe5bd7ec,3080527,3043909,4125035,3080527_3043909
