tm2_mode,line_mode,operator,technology,time_period,total_boarding,survey_route,survey_boardings,florida_threshold,daily_line_name,fare_system,total_hour_cap,line_name,survey_tech,survey_operator,survey_agency,standard_route_id,canonical_operator,standard_route_short_name,standard_route_long_name,standard_line_name,standard_headsign,iteration_description,iteration_number
14.0,b,Caltrain,Local Bus,am,36.60302281,,,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
14.0,b,Caltrain,Local Bus,daily,36.60302281,,,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
120.0,h,BART,Heavy Rail,am,154689.9254,BART,134161.9458,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
120.0,h,BART,Heavy Rail,daily,154689.9254,BART,431650.9496,0.25,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
130.0,r,Caltrain,Commuter Rail,am,16227.55279,Caltrain,20978.58796,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
130.0,r,Caltrain,Commuter Rail,daily,16227.55279,Caltrain,52463.4,0.25,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
133.0,r,ACE,Commuter Rail,am,363.5625038,ACE,1508.222,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
133.0,r,ACE,Commuter Rail,daily,363.5625038,ACE,4950.064,0.65,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,daily,,Sonoma-Marin Area Rail Transit,2227.960337,0.65,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,ACE,Commuter Rail,ea,,ACE,65.06,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,ACE,Commuter Rail,ev,,ACE,374.397,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,ACE,Commuter Rail,md,,ACE,18.948,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,ACE,Commuter Rail,pm,,ACE,2983.437,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Caltrain,Commuter Rail,ea,,Caltrain,1594.623749,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Caltrain,Commuter Rail,ev,,Caltrain,3236.118496,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Caltrain,Commuter Rail,md,,Caltrain,3948.651135,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Caltrain,Commuter Rail,pm,,Caltrain,21072.4,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,am,,Sonoma-Marin Area Rail Transit,873.7801876,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,ea,,Sonoma-Marin Area Rail Transit,305.157843,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,ev,,Sonoma-Marin Area Rail Transit,82.66844316,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,md,,Sonoma-Marin Area Rail Transit,526.2017709,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,Sonoma-Marin Area Rail Transit,Commuter Rail,pm,,Sonoma-Marin Area Rail Transit,440.1520927,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,BART,Heavy Rail,ea,,BART,4964.386917,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
,,BART,Heavy Rail,ev,,BART,64961.64612,,,,,,,,,,,,,,,Uncogested with Link21 Parameters (Ashish),0.0
