line_name,description,total_boarding,total_hour_cap,tm2_mode,line_mode,headway,fare_system
10_573_198_AM_d0_s493,Hollis,0,33.75,12,o,80.0,18
10_573_199_AM_d0_s492,Hollis North,0,207.69230769230768,12,o,13.0,18
10_573_200_AM_d0_s498,Hollis South,0,207.69230769230768,12,o,13.0,18
10_573_201_AM_d0_s490,Shellmound/Powell,0,33.75,12,o,80.0,18
10_573_202_AM_d0_s494,South Shellmound/Powell,0,192.85714285714286,12,o,14.0,18
10_573_203_AM_d0_s496,North Shellmound,0,150.0,12,o,18.0,18
10_573_204_AM_d0_s499,Watergate Express,0,135.0,12,o,20.0,18
12_247_481_AM_d0_s1454,1,0,126.0,49,v,30.0,34
12_247_481_AM_d1_s1425,1,0,111.17647058823529,49,v,34.0,34
12_247_482_AM_d0_s1446,2,0,126.0,49,v,30.0,34
12_247_482_AM_d1_s1420,2,0,126.0,49,v,30.0,34
12_247_483_AM_d1_s1441,3,0,78.75,49,v,48.0,34
12_247_484_AM_d0_s1417,4,0,126.0,49,v,30.0,34
12_247_484_AM_d1_s1448,4,0,78.75,49,v,48.0,34
12_247_485_AM_d0_s1440,5,0,78.75,49,v,48.0,34
12_247_485_AM_d1_s1429,5,0,78.75,49,v,48.0,34
12_247_486_AM_d0_s1419,6,0,63.0,49,v,60.0,34
12_247_486_AM_d1_s1451,6,0,47.25,49,v,80.0,34
12_247_487_AM_d0_s1453,7,0,222.35294117647058,49,v,17.0,34
12_247_487_AM_d1_s1418,7,0,126.0,49,v,30.0,34
12_247_488_AM_d0_s1423,15,0,31.5,49,v,120.0,34
12_247_489_AM_d0_s1432,17,0,31.5,49,v,120.0,34
12_247_490_AM_d0_s1443,78,0,111.17647058823529,91,j,34.0,35
12_247_490_AM_d1_s1426,78,0,78.75,91,j,48.0,35
12_247_491_AM_d0_s1421,80,0,210.0,91,j,18.0,35
12_247_491_AM_d1_s1435,80,0,222.35294117647058,91,j,17.0,35
12_247_492_AM_d0_s1449,85,19.195608139038086,1260.0,49,l,3.0,35
12_247_492_AM_d1_s1450,85,8.990134239196777,1260.0,49,l,3.0,35
12_247_493_AM_d0_s1455,8,0,63.0,49,v,60.0,34
12_247_493_AM_d1_s1430,8,0,47.25,49,v,80.0,34
12_247_494_AM_d0_s1452,20,0,31.5,49,v,120.0,34
12_247_494_AM_d1_s1447,20,0,15.75,49,v,240.0,34
13_5_300_AM_d0_s789,nan,0,31.5,52,o,120.0,5
13_5_300_AM_d1_s787,nan,0,15.75,52,o,240.0,5
14_869_687_AM_d0_s2064,Route 2,0,63.0,56,o,60.0,48
14_869_688_AM_d0_s2066,Route 4,0,63.0,56,o,60.0,48
14_869_689_AM_d0_s2068,Route 5,0,31.5,56,o,120.0,48
14_869_689_AM_d1_s2067,Route 5,0,31.5,56,o,120.0,48
14_869_690_AM_d0_s2069,Route 6,0,47.25,56,o,80.0,48
14_869_690_AM_d1_s2070,Route 6,0,31.5,56,o,120.0,48
15__163_AM_d0_s422,Rossmoor/Shadelands,0,63.0,42,o,60.0,15
15__163_AM_d1_s423,Rossmoor/Shadelands,0,63.0,42,o,60.0,15
15__164_AM_d0_s424,BART WALNUT CREEK/JOHN MUIR MED CTR,0,63.0,42,o,60.0,15
15__164_AM_d1_s425,BART WALNUT CREEK/JOHN MUIR MED CTR,0,63.0,42,o,60.0,15
15__165_AM_d0_s426,Rudgear/BART Walnut Creek,0,31.5,42,o,120.0,15
15__165_AM_d1_s427,Rudgear/BART Walnut Creek,0,31.5,42,o,120.0,15
15__166_AM_d0_s428,DVC/BART Concord,0,145.3846153846154,42,o,26.0,15
15__166_AM_d1_s429,DVC/BART Concord,0,180.0,42,o,21.0,15
15__167_AM_d0_s430,BART Walnut Creek/San Ramon,0,111.17647058823529,42,o,34.0,15
15__167_AM_d1_s431,BART Walnut Creek/San Ramon,0,111.17647058823529,42,o,34.0,15
15__168_AM_d0_s432,BART Lafayette/BART Walnut Creek,0,47.25,42,o,80.0,15
15__168_AM_d1_s433,BART Lafayette/BART Walnut Creek,0,31.5,42,o,120.0,15
15__169_AM_d0_s434,BART North Concord/Martinez,0,47.25,42,o,80.0,15
15__169_AM_d1_s435,BART North Concord/Martinez,0,47.25,42,o,80.0,15
15__170_AM_d0_s436,Martinez Community,0,47.25,42,o,80.0,15
15__171_AM_d0_s437,BART Concord/Clayton,0,126.0,42,o,30.0,15
15__171_AM_d1_s438,BART Concord/Clayton,0,126.0,42,o,30.0,15
15__172_AM_d0_s439,BART Dublin/San Ramon,0,111.17647058823529,42,o,34.0,15
15__172_AM_d1_s440,BART Dublin/San Ramon,0,111.17647058823529,42,o,34.0,15
15__173_AM_d0_s441,San Ramon/BART Dublin,0,63.0,42,o,60.0,15
